Dates,TSM_HIGH,TSM_LOW,TSM_OPEN,TSM_LAST,TSM_IV1st_90%,TSM_IV1st_95%,TSM_IV1st_97.5%,TSM_IV1st_100%,TSM_IV1st_102.5%,TSM_IV1st_105%,TSM_IV1st_110%,TSM_IV2nd_90%,TSM_IV2nd_95%,TSM_IV2nd_97.5%,TSM_IV2nd_100%,TSM_IV2nd_102.5%,TSM_IV2nd_105%,TSM_IV2nd_110%,TSM_IV1m_90%,TSM_IV1m_95%,TSM_IV1m_97.5%,TSM_IV1m_100%,TSM_IV1m_102.5%,TSM_IV1m_105%,TSM_IV1m_110%,TSM_IV2m_90%,TSM_IV2m_95%,TSM_IV2m_97.5%,TSM_IV2m_100%,TSM_IV2m_102.5%,TSM_IV2m_105%,TSM_IV2m_110%,TSM_IV3m_90%,TSM_IV3m_95%,TSM_IV3m_97.5%,TSM_IV3m_100%,TSM_IV3m_102.5%,TSM_IV3m_105%,TSM_IV3m_110%
15/5/2019,42.33,41.46,41.55,41.97,31.4108,31.4108,31.4108,24.6445,30.2293,30.2293,30.2293,29.6646,26.0229,24.8054,23.0008,23.0014,22.1625,21.7402,29.6845,26.0886,24.888,23.0196,23.0937,22.2677,21.8521,28.1205,25.7677,24.7643,23.7178,24.1336,23.3841,22.3397,27.4293,25.7106,25.0206,24.3031,24.1783,23.6543,22.7224
16/5/2019,41.64,41.22,41.63,41.53,32.7272,32.7272,32.7272,32.0725,31.4435,31.4435,31.4435,28.5877,25.2822,23.8467,22.7153,21.766,20.9752,20.4528,28.6082,25.3215,23.8952,22.7673,21.8204,21.0354,20.517,27.7381,25.303,24.5242,24.0659,23.5025,23.1074,22.3229,27.4426,25.5913,24.8948,24.2849,23.6558,23.3025,22.5679
17/5/2019,40.95,40.09,40.39,40.25,30.0056,26.5314,25.4474,24.4156,22.8838,22.4927,22.0002,30.0056,26.5314,25.4474,24.4156,22.8838,22.4927,22.0002,30.0056,26.5314,25.4474,24.4156,22.8838,22.4927,22.0002,28.7472,26.0093,25.339,24.8372,24.0099,23.8777,23.3013,28.1725,26.3429,25.5994,24.9043,24.0746,23.7852,23.2342
20/5/2019,39.3,38.52,39.25,38.66,33.1687,29.7515,28.9153,27.7494,26.4426,25.5781,25.0537,30.7873,28.4992,27.3697,27.4918,26.9883,26.2402,25.9891,33.1687,29.7515,28.9153,27.7494,26.4426,25.5781,25.0537,30.7522,28.4836,27.3649,27.4674,26.9546,26.2113,25.9524,30.0342,28.1667,27.2676,26.9686,26.2647,25.619,25.1987
21/5/2019,39.34,38.66,39.15,39.3,31.3728,27.8659,26.2059,24.9631,23.9953,23.4628,23.5944,29.3446,27.1831,26.4317,25.7648,25.268,24.7467,24.7122,31.3728,27.8659,26.2059,24.9631,23.9953,23.4628,23.5944,29.3207,27.1979,26.4489,25.7901,25.2714,24.7474,24.6758,29.082,27.3448,26.6188,26.0406,25.3055,24.7549,24.3114
22/5/2019,39.39,38.885,39.2,38.9,30.838,28.2674,26.4466,25.7496,23.9549,23.2551,22.416,29.579,27.442,26.6465,26.3182,26.1097,25.772,24.1143,30.7555,28.213,26.46,25.788,24.1049,23.4317,22.5334,29.5226,27.4121,26.6426,26.2901,26.0511,25.7196,24.1473,29.1525,27.2165,26.6176,26.1063,25.666,25.3756,24.361
23/5/2019,38.18,37.41,37.98,38.07,36.071,32.8086,31.8552,31.2695,29.1844,28.1405,26.4966,33.2476,30.242,29.4444,29.0631,28.9921,28.4696,27.7229,35.7129,32.4831,31.5491,30.9887,29.1593,28.1839,26.6609,32.9752,30.1117,29.3436,28.8886,28.8172,28.2825,27.5326,31.6344,29.4782,28.8548,28.0356,27.9623,27.3667,26.5998
24/5/2019,38.74,38.19,38.42,38.2,32.8797,31.2949,30.1555,28.0766,26.3271,25.749,25.1641,31.4399,29.7734,28.6728,27.6862,28.2348,28.0129,27.4209,32.606,31.0063,29.8743,28.0014,26.707,26.2024,25.6164,31.2782,29.6767,28.5913,27.6519,28.0693,27.84,27.2279,30.6604,29.309,28.2818,27.5218,27.4357,27.1777,26.487
28/5/2019,38.2,37.65,38.13,37.65,35.3674,31.5376,30.266,29.0472,27.9091,27.0148,26.617,32.2195,29.7445,28.9438,28.7717,28.219,27.9434,27.4637,34.0827,30.7984,29.7187,28.932,28.0395,27.408,26.9753,31.8326,29.5537,28.7378,28.4769,27.8924,27.5976,27.0876,31.0654,29.1787,28.3323,27.894,27.2451,26.9116,26.34
29/5/2019,37.75,37.18,37.46,37.69,37.7558,33.126,31.1615,29.1352,27.7195,26.7014,26.5256,33.0655,30.103,28.8539,28.2536,27.5246,26.429,26.3675,35.6281,31.7409,30.0989,28.7242,27.6281,26.5737,26.4514,32.5317,29.9542,28.8642,28.141,27.3618,26.4074,26.2063,31.5934,29.6967,28.8819,27.9463,27.0799,26.3701,25.9269
30/5/2019,38.3687,37.84,37.95,38.04,35.3798,31.5381,29.3102,27.903,27.0192,25.5265,26.1752,31.8081,29.4567,29.0687,27.4396,27.827,27.3602,26.233,33.5755,30.4768,29.1853,27.6638,27.441,26.493,26.2052,31.4074,29.3603,28.9458,27.542,27.4609,26.983,25.8915,30.7836,29.212,28.7564,27.698,26.8907,26.3949,25.3597
